fl,tl,TL - FL,w,pit,sx,d,m,y,site,,,,,,,,,,,,,,,,,
235,269,34,177,9.00228E+14,m,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
260,296,36,256,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
252,292,40,256,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
256,287,31,261,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
235,267,32,179,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
246,281,35,225,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
259,297,38,258,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
210,242,32,144,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
210,240,30,124,9.00228E+14,m,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
250,288,38,237,9.00228E+14,m,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
208,236,28,146,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
256,295,39,269,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
260,297,37,255,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
218,249,31,147,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
260,295,35,273,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
210,240,30,114,9.00228E+14,m,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
234,267,33,194,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
248,280,32,202,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
265,300,35,289,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
221,254,33,147,9.00228E+14,m,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
255,293,38,255,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
245,280,35,227,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
265,301,36,310,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
244,276,32,226,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
211,244,33,129,9.00228E+14,f,24,5,2017,cbcl,,,,,,,,,,,,,,,,,
222,251,29,162,9.00228E+14,m,26,5,2017,cbcl,,,,,,,,,,,,,,,,,
236,268,32,200,9.00228E+14,f,26,5,2017,cbcl,,,,,,,,,,,,,,,,,
230,265,35,194,9.00228E+14,m,26,5,2017,cbcl,,,,,,,,,,,,,,,,,
206,236,30,139,9.00228E+14,m,26,5,2017,cbcl,,,,,,,,,,,,,,,,,
237,270,33,205,9.00228E+14,m,26,5,2017,cbcl,,,,,,,,,,,,,,,,,
236,270,34,202,9.00228E+14,f,26,5,2017,cbcl,,,,,,,,,,,,,,,,,
243,280,37,155,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
196,226,30,122,9.00228E+14,m,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
236,271,35,173,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
241,277,36,174,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
245,280,35,227,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
219,255,36,134,9.00228E+14,m,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
245,279,34,245,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
209,240,31,152,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
204,234,30,125,9.00228E+14,m,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
236,271,35,199,9.00228E+14,f,1,6,2017,cbcl,,,,,,,,,,,,,,,,,
